max,paranoid1,paranoid2,paranoid3
2,3,1,20
6,12,14,20
12,12,28,26
15,13,46,30
15,37,46,32
30,37,52,37
44,47,52,39
45,67,56,40
49,71,61,53
55,71,68,66
69,71,68,78
69,84,77,82
82,86,84,86
85,86,101,92

2,15,1,8
6,23,15,8
8,29,15,26
13,37,15,39
18,55,17,40
34,56,21,45
34,57,38,53
36,57,42,73
43,74,44,73
64,75,47,74
64,101,73,100

2,10,14,0
20,10,14,8
20,19,14,25
20,19,32,33
20,24,47,39
41,24,47,44
63,24,48,47
63,28,69,48
65,47,74,48
78,60,74,48
78,77,77,54
91,82,84,55
114,84,85,55

15,0,11,0
21,14,15,2
38,15,23,2
39,17,29,19
49,17,30,34
54,17,30,55
70,19,30,63
70,22,47,69
76,22,48,88
85,39,48,88
88,62,48,88
88,67,53,104

20,5,0,1
25,5,13,9
26,23,18,11
28,23,34,19
31,42,38,19
40,42,51,23
40,50,51,41
47,50,70,41
47,69,77,41
47,71,83,59
47,85,95,59
52,89,97,74
52,100,111,75

5,4,13,4
6,11,13,22
19,13,13,33
36,13,13,42
38,15,17,60
47,17,32,60
52,18,34,78
52,26,51,79
53,31,65,85
57,32,82,89
75,36,82,93
97,36,86,93
112,36,90,100

6,0,5,15
9,1,23,19
10,16,26,26
21,18,26,39
25,23,27,55
47,27,27,55
52,27,41,62
65,27,45,71
78,29,52,75
81,30,65,84
98,34,65,89
122,34,66,90

16,5,2,3
21,13,2,16
22,30,2,24
46,31,2,25
63,37,2,28
80,37,2,37
90,37,2,53
107,41,6,54

0,8,14,4
2,8,37,5
2,29,37,10
17,39,37,11
17,40,60,13
18,60,60,18
22,60,75,25
35,69,76,28
35,70,83,46
52,70,87,51
52,70,111,53

14,1,11,0
15,1,16,20
30,7,17,24
30,31,18,25
30,36,39,25
30,43,53,30
35,45,57,45
53,49,61,45
60,49,79,46
65,53,92,50
71,69,93,53
74,74,98,66
76,74,117,71

4,0,1,21
28,1,1,22
45,8,3,22
63,14,3,24
65,16,3,46
79,26,5,46
97,26,9,50
102,29,12,65

2,14,1,9
10,29,1,12
35,30,1,12
35,47,2,20
38,54,18,20
54,60,22,20
72,60,30,20
80,77,30,21
99,77,37,21
114,83,41,22

11,0,1,14
11,8,6,27
11,13,12,42
30,16,16,42
30,16,30,54
52,16,31,57
58,35,31,58
58,38,35,77
75,43,39,77
90,46,45,79
92,46,50,98
93,70,51,98
106,73,61,98

2,23,0,1
20,27,0,5
20,48,5,5
41,52,5,6
43,57,24,6
43,57,47,9
46,62,49,25
47,67,53,41
56,68,53,57
60,68,58,74
79,69,58,80
84,85,61,82
85,108,63,82

8,0,17,1
9,15,22,6
27,18,22,11
49,19,25,11
53,40,26,11
63,40,29,24
63,61,29,29
63,74,29,42
63,79,43,49
67,94,49,50
69,102,52,63

13,2,2,9
17,3,2,30
24,3,16,35
24,17,16,47
24,24,17,65
37,35,18,66
43,35,23,81
57,39,23,89
58,44,28,104

18,5,0,3
37,5,0,10
41,6,21,10
44,7,22,31
51,20,26,33
64,20,27,45
79,20,28,55
100,21,32,55

1,9,13,3
5,9,18,20
20,13,24,21
22,15,32,35
32,15,33,50
34,21,34,67
34,22,47,79
37,26,50,95
41,32,50,111

0,20,0,6
0,33,13,6
17,40,14,7
22,47,14,21
29,64,16,21
49,70,16,21
50,74,37,21
54,91,42,21
61,91,55,27
63,93,60,44
64,107,69,46

26,26,26,0
26,32,26,20
32,46,30,22
52,49,33,22
67,50,41,24
81,50,49,28
84,50,57,43
102,53,61,44

1,5,16,4
1,14,16,21
2,36,16,24
3,37,16,48
3,63,42,74
10,76,42,80
11,80,47,96
21,93,49,97
23,93,49,121

7,0,19,0
7,20,19,6
12,37,19,10
19,51,20,14
19,70,21,20
19,71,24,42
19,97,50,68
21,97,74,68
29,102,74,81

1,14,6,5
7,27,13,5
11,29,13,25
14,32,18,40
14,40,36,40
25,54,37,40
25,61,39,57
35,77,39,57
38,77,40,79
58,79,40,83
63,80,43,100

0,14,9,3
3,15,27,7
5,16,37,20
11,16,42,35
20,17,58,35
41,18,58,39
43,19,65,55
49,38,66,55
49,47,82,56
53,48,101,58

1,15,3,7
1,22,7,22
22,22,8,26
22,43,13,26
23,48,13,46
33,49,27,47
44,50,27,61
52,50,41,65
58,52,43,81
79,52,46,83
82,62,46,96
96,64,49,103

