paranoid1,paranoid2,paranoid3,paranoid4
0,9,0,17
18,13,0,21
19,18,13,28
38,20,13,33
39,22,35,34
40,36,46,34
42,38,46,56
48,38,64,58
65,38,69,62
70,38,86,66
84,50,86,66
86,70,90,66
86,70,112,70

2,1,7,16
17,5,8,22
19,10,21,28
27,27,22,28
36,44,22,28
36,45,47,28
41,59,50,32
46,74,51,37
51,91,55,37
57,91,56,56
65,91,73,57
84,91,79,58
84,112,83,59

3,0,21,2
6,5,37,4
7,14,53,4
9,19,55,21
9,23,60,38
12,37,67,40
12,42,71,57
19,43,87,59
23,44,94,73
36,57,94,73
40,57,112,77

1,4,2,19
3,7,2,40
5,15,4,54
20,15,13,56
34,15,25,56
41,21,25,69
43,34,31,74
43,54,32,79
50,58,45,81
51,64,64,81
51,66,71,98
51,67,92,102

0,2,19,5
1,4,34,13
16,4,40,18
16,17,51,20
37,17,56,20
52,23,60,21
71,29,60,22
79,42,62,25
97,50,62,25
98,50,62,50
118,50,68,50

2,1,21,2
4,2,36,10
21,2,45,10
30,2,62,10
31,6,66,27
39,9,68,40
58,13,68,43
60,28,68,52
64,28,83,59
66,32,99,63
70,32,99,85
72,42,113,85

2,11,13,0
3,18,27,4
3,24,43,8
4,45,44,11
5,45,61,19
8,49,63,36
8,63,73,38
15,63,92,38
31,64,100,39

10,2,0,14
16,6,2,28
33,6,7,32
50,6,14,34
67,6,17,40
72,6,17,61
76,6,35,65
78,6,59,65
78,13,72,71
82,31,72,75
88,32,86,80
103,32,89,88

2,17,7,0
9,33,7,3
9,33,29,7
13,39,44,8
13,57,44,16
25,58,44,29
46,62,44,30
50,78,48,32
51,91,55,37
51,102,68,39

0,18,0,8
0,22,22,8
6,25,35,12
31,25,36,12
38,29,51,12
55,29,51,21
60,42,57,23
68,55,62,23
68,55,80,31
81,64,80,35
96,65,84,41
119,66,86,41

4,6,0,16
5,26,0,21
22,35,0,21
24,40,2,38
24,43,21,42
24,52,34,46
24,67,41,50
25,75,55,53
26,75,73,60
26,98,75,61
26,102,97,61

6,3,15,2
20,3,24,5
25,18,28,7
27,18,48,11
27,19,68,16
48,19,68,21
48,23,77,34
48,30,95,35
52,32,95,55
52,36,117,55

17,7,2,0
33,10,3,6
33,23,5,17
33,47,5,19
34,52,18,26
34,75,21,26
34,76,40,32
37,84,41,46
42,84,44,64
44,86,44,86
46,88,60,92
50,104,66,92

14,11,1,0
14,15,21,2
31,15,25,7
31,15,50,8
44,27,50,9
44,52,51,9
46,70,56,10
47,74,57,30
61,80,63,30
64,80,69,47
64,86,69,67
83,88,74,67
83,106,81,68

6,1,0,19
6,9,18,19
8,13,18,39
22,13,24,45
38,19,24,49
38,32,33,53
43,52,33,54
63,53,33,59
76,54,33,71
81,55,33,91
81,80,33,92
82,99,33,98
100,103,33,102

17,6,3,0
19,10,3,20
38,10,4,26
59,10,9,26
63,12,9,46
64,33,13,46
67,38,30,47
71,39,34,64
85,41,41,67
89,41,49,81
89,54,50,93
107,54,51,100

4,14,3,5
19,18,9,6
23,18,10,27
23,22,16,43
23,22,27,58
30,28,40,58
51,28,42,61
55,30,55,68
72,34,56,72
72,34,65,89
73,34,82,97
78,34,103,97

5,0,1,20
11,13,5,23
12,16,18,32
12,21,25,46
25,29,29,47
35,29,30,62
57,29,32,64
57,51,32,68
57,68,36,73
77,70,40,73
81,71,61,73
87,84,68,73
87,85,93,73
104,85,98,77

3,16,2,5
3,16,19,14
5,35,19,19
5,40,32,27
26,45,32,27
29,49,33,45
32,59,33,58
32,80,38,58
37,80,42,75
56,84,42,78
56,94,58,78
59,111,59,83

1,1,0,24
7,17,0,28
25,17,5,31
46,17,5,36
47,19,25,39
51,23,25,57
52,23,46,61
52,28,47,81
71,29,53,81
85,38,53,84
90,41,71,84
104,46,77,85

14,0,5,7
14,5,22,11
22,6,26,24
35,12,26,31
51,14,30,35
77,14,56,61
78,32,60,64
78,32,82,68
82,34,102,68

20,0,0,6
20,18,6,8
20,31,15,12
20,50,22,12
40,50,28,12
47,50,28,31
47,58,28,49
51,58,28,71
56,65,42,71
56,68,46,90
64,71,46,105

21,1,4,0
35,1,14,2
36,3,35,4
40,21,35,8
40,21,47,22
41,28,65,22
49,43,68,22
63,45,75,25
63,63,75,33
82,63,76,39
95,75,77,39
100,81,91,40

0,4,5,17
6,6,18,22
12,20,24,22
12,41,27,24
16,47,28,39
23,61,33,39
25,61,51,45
25,62,68,53
29,67,71,67
29,81,82,68
46,83,82,75
50,98,89,75
67,101,93,77

13,9,0,4
31,9,8,4
31,14,14,19
31,14,22,37
36,14,25,55
50,22,29,55
51,24,31,76
65,31,32,80
69,35,47,83
79,36,62,83
92,42,69,83
92,44,91,85
94,48,111,85

